,Measurement,Year,Country,Proportion,fCountry
18325,Calories,1985,Myanmar,0.691749773,Myanmar
18326,Fat,1985,Myanmar,0.263157895,Myanmar
18327,Protein,1985,Myanmar,0.711155378,Myanmar
18328,Weight,1985,Myanmar,0.567247616,Myanmar
18329,Calories,1986,Myanmar,0.67834681,Myanmar
18330,Fat,1986,Myanmar,0.272965879,Myanmar
18331,Protein,1986,Myanmar,0.697628458,Myanmar
18332,Weight,1986,Myanmar,0.550645161,Myanmar
18333,Calories,1987,Myanmar,0.706642889,Myanmar
18334,Fat,1987,Myanmar,0.321148825,Myanmar
18335,Protein,1987,Myanmar,0.72745098,Myanmar
18336,Weight,1987,Myanmar,0.571109694,Myanmar
18337,Calories,1988,Myanmar,0.718271827,Myanmar
18338,Fat,1988,Myanmar,0.335164835,Myanmar
18339,Protein,1988,Myanmar,0.735700197,Myanmar
18340,Weight,1988,Myanmar,0.580811333,Myanmar
18341,Calories,1989,Myanmar,0.761927481,Myanmar
18342,Fat,1989,Myanmar,0.401840491,Myanmar
18343,Protein,1989,Myanmar,0.797441365,Myanmar
18344,Weight,1989,Myanmar,0.616040956,Myanmar
18345,Calories,1990,Myanmar,0.735900217,Myanmar
18346,Fat,1990,Myanmar,0.3,Myanmar
18347,Protein,1990,Myanmar,0.7925,Myanmar
18348,Weight,1990,Myanmar,0.602812619,Myanmar
18349,Calories,1991,Myanmar,0.73508087,Myanmar
18350,Fat,1991,Myanmar,0.259259259,Myanmar
18351,Protein,1991,Myanmar,0.795865633,Myanmar
18352,Weight,1991,Myanmar,0.588392516,Myanmar
18353,Calories,1992,Myanmar,0.734503566,Myanmar
18354,Fat,1992,Myanmar,0.297805643,Myanmar
18355,Protein,1992,Myanmar,0.7825,Myanmar
18356,Weight,1992,Myanmar,0.576215022,Myanmar
18357,Calories,1993,Myanmar,0.71820062,Myanmar
18358,Fat,1993,Myanmar,0.330578512,Myanmar
18359,Protein,1993,Myanmar,0.766509434,Myanmar
18360,Weight,1993,Myanmar,0.571428571,Myanmar
18361,Calories,1994,Myanmar,0.744461618,Myanmar
18362,Fat,1994,Myanmar,0.311926606,Myanmar
18363,Protein,1994,Myanmar,0.777011494,Myanmar
18364,Weight,1994,Myanmar,0.590083799,Myanmar
18365,Calories,1995,Myanmar,0.721531576,Myanmar
18366,Fat,1995,Myanmar,0.211143695,Myanmar
18367,Protein,1995,Myanmar,0.756696429,Myanmar
18368,Weight,1995,Myanmar,0.57316661,Myanmar
18369,Calories,1996,Myanmar,0.715295305,Myanmar
18370,Fat,1996,Myanmar,0.234421365,Myanmar
18371,Protein,1996,Myanmar,0.746067416,Myanmar
18372,Weight,1996,Myanmar,0.55810037,Myanmar
18373,Calories,1997,Myanmar,0.693715982,Myanmar
18374,Fat,1997,Myanmar,0.238938053,Myanmar
18375,Protein,1997,Myanmar,0.72406181,Myanmar
18376,Weight,1997,Myanmar,0.540210943,Myanmar
18377,Calories,1998,Myanmar,0.702512563,Myanmar
18378,Fat,1998,Myanmar,0.205970149,Myanmar
18379,Protein,1998,Myanmar,0.738148984,Myanmar
18380,Weight,1998,Myanmar,0.536441234,Myanmar
18381,Calories,1999,Myanmar,0.685587364,Myanmar
18382,Fat,1999,Myanmar,0.210526316,Myanmar
18383,Protein,1999,Myanmar,0.711159737,Myanmar
18384,Weight,1999,Myanmar,0.512950095,Myanmar
18385,Calories,2000,Myanmar,0.682555283,Myanmar
18386,Fat,2000,Myanmar,0.235820896,Myanmar
18387,Protein,2000,Myanmar,0.711159737,Myanmar
18388,Weight,2000,Myanmar,0.511496063,Myanmar
18389,Calories,2001,Myanmar,0.666025949,Myanmar
18390,Fat,2001,Myanmar,0.23796034,Myanmar
18391,Protein,2001,Myanmar,0.69527897,Myanmar
18392,Weight,2001,Myanmar,0.496325781,Myanmar
18393,Calories,2002,Myanmar,0.644359465,Myanmar
18394,Fat,2002,Myanmar,0.234972678,Myanmar
18395,Protein,2002,Myanmar,0.65625,Myanmar
18396,Weight,2002,Myanmar,0.476564862,Myanmar
18397,Calories,2003,Myanmar,0.63714696,Myanmar
18398,Fat,2003,Myanmar,0.258953168,Myanmar
18399,Protein,2003,Myanmar,0.647302905,Myanmar
18400,Weight,2003,Myanmar,0.463117192,Myanmar
18401,Calories,2004,Myanmar,0.605760151,Myanmar
18402,Fat,2004,Myanmar,0.25,Myanmar
18403,Protein,2004,Myanmar,0.614754098,Myanmar
18404,Weight,2004,Myanmar,0.433150448,Myanmar
18405,Calories,2005,Myanmar,0.585285848,Myanmar
18406,Fat,2005,Myanmar,0.24822695,Myanmar
18407,Protein,2005,Myanmar,0.591093117,Myanmar
18408,Weight,2005,Myanmar,0.416239316,Myanmar
18409,Calories,2006,Myanmar,0.581818182,Myanmar
18410,Fat,2006,Myanmar,0.244343891,Myanmar
18411,Protein,2006,Myanmar,0.587525151,Myanmar
18412,Weight,2006,Myanmar,0.410804727,Myanmar
18413,Calories,2007,Myanmar,0.578772013,Myanmar
18414,Fat,2007,Myanmar,0.258660508,Myanmar
18415,Protein,2007,Myanmar,0.56547619,Myanmar
18416,Weight,2007,Myanmar,0.402490801,Myanmar
18417,Calories,2008,Myanmar,0.563636364,Myanmar
18418,Fat,2008,Myanmar,0.256124722,Myanmar
18419,Protein,2008,Myanmar,0.546332046,Myanmar
18420,Weight,2008,Myanmar,0.386276654,Myanmar
18421,Calories,2009,Myanmar,0.567121997,Myanmar
18422,Fat,2009,Myanmar,0.256017505,Myanmar
18423,Protein,2009,Myanmar,0.541266795,Myanmar
18424,Weight,2009,Myanmar,0.386600769,Myanmar
18425,Calories,1961,Namibia,0.254637437,Namibia
18426,Fat,1961,Namibia,0.494318182,Namibia
18427,Protein,1961,Namibia,0.254498715,Namibia
18428,Weight,1961,Namibia,0.479397781,Namibia
18429,Calories,1962,Namibia,0.25734494,Namibia
18430,Fat,1962,Namibia,0.48,Namibia
18431,Protein,1962,Namibia,0.2575,Namibia
18432,Weight,1962,Namibia,0.486029223,Namibia
18433,Calories,1963,Namibia,0.255330782,Namibia
18434,Fat,1963,Namibia,0.482758621,Namibia
18435,Protein,1963,Namibia,0.253807107,Namibia
18436,Weight,1963,Namibia,0.482243953,Namibia
18437,Calories,1964,Namibia,0.261153428,Namibia
18438,Fat,1964,Namibia,0.473988439,Namibia
18439,Protein,1964,Namibia,0.248730964,Namibia
18440,Weight,1964,Namibia,0.485743124,Namibia
18441,Calories,1965,Namibia,0.254711901,Namibia
18442,Fat,1965,Namibia,0.465517241,Namibia
18443,Protein,1965,Namibia,0.248101266,Namibia
18444,Weight,1965,Namibia,0.478206097,Namibia
18445,Calories,1966,Namibia,0.252585738,Namibia
18446,Fat,1966,Namibia,0.456647399,Namibia
18447,Protein,1966,Namibia,0.253846154,Namibia
18448,Weight,1966,Namibia,0.475133894,Namibia
18449,Calories,1967,Namibia,0.251096491,Namibia
18450,Fat,1967,Namibia,0.457142857,Namibia
18451,Protein,1967,Namibia,0.25,Namibia
18452,Weight,1967,Namibia,0.471979434,Namibia
18453,Calories,1968,Namibia,0.244383562,Namibia
18454,Fat,1968,Namibia,0.457627119,Namibia
18455,Protein,1968,Namibia,0.2578125,Namibia
18456,Weight,1968,Namibia,0.464796051,Namibia
18457,Calories,1969,Namibia,0.241530055,Namibia
18458,Fat,1969,Namibia,0.460674157,Namibia
18459,Protein,1969,Namibia,0.250652742,Namibia
18460,Weight,1969,Namibia,0.462924282,Namibia
18461,Calories,1970,Namibia,0.23775454,Namibia
18462,Fat,1970,Namibia,0.465909091,Namibia
18463,Protein,1970,Namibia,0.239690722,Namibia
18464,Weight,1970,Namibia,0.456894279,Namibia
18465,Calories,1971,Namibia,0.230979748,Namibia
18466,Fat,1971,Namibia,0.460674157,Namibia
18467,Protein,1971,Namibia,0.23907455,Namibia
18468,Weight,1971,Namibia,0.447027741,Namibia
18469,Calories,1972,Namibia,0.227197347,Namibia
18470,Fat,1972,Namibia,0.463276836,Namibia
18471,Protein,1972,Namibia,0.238341969,Namibia
18472,Weight,1972,Namibia,0.441231593,Namibia
18473,Calories,1973,Namibia,0.225289895,Namibia
18474,Fat,1973,Namibia,0.460674157,Namibia
18475,Protein,1973,Namibia,0.242894057,Namibia
18476,Weight,1973,Namibia,0.438253415,Namibia
18477,Calories,1974,Namibia,0.220858896,Namibia
18478,Fat,1974,Namibia,0.460674157,Namibia
18479,Protein,1974,Namibia,0.248062016,Namibia
18480,Weight,1974,Namibia,0.43171926,Namibia
18481,Calories,1975,Namibia,0.214676889,Namibia
18482,Fat,1975,Namibia,0.461111111,Namibia
18483,Protein,1975,Namibia,0.23989899,Namibia
18484,Weight,1975,Namibia,0.42601626,Namibia
18485,Calories,1976,Namibia,0.210671067,Namibia
18486,Fat,1976,Namibia,0.466292135,Namibia
18487,Protein,1976,Namibia,0.242346939,Namibia
18488,Weight,1976,Namibia,0.419699042,Namibia
18489,Calories,1977,Namibia,0.207236842,Namibia
18490,Fat,1977,Namibia,0.461538462,Namibia
18491,Protein,1977,Namibia,0.24744898,Namibia
18492,Weight,1977,Namibia,0.415115005,Namibia
18493,Calories,1978,Namibia,0.20413718,Namibia
18494,Fat,1978,Namibia,0.467032967,Namibia
18495,Protein,1978,Namibia,0.250632911,Namibia
18496,Weight,1978,Namibia,0.411700082,Namibia
18497,Calories,1979,Namibia,0.2,Namibia
18498,Fat,1979,Namibia,0.461111111,Namibia
18499,Protein,1979,Namibia,0.2425,Namibia
18500,Weight,1979,Namibia,0.40673788,Namibia
18501,Calories,1980,Namibia,0.199465241,Namibia
18502,Fat,1980,Namibia,0.453038674,Namibia
18503,Protein,1980,Namibia,0.24137931,Namibia
18504,Weight,1980,Namibia,0.399285518,Namibia
18505,Calories,1981,Namibia,0.191422594,Namibia
18506,Fat,1981,Namibia,0.445054945,Namibia
18507,Protein,1981,Namibia,0.230215827,Namibia
18508,Weight,1981,Namibia,0.393447062,Namibia
18509,Calories,1982,Namibia,0.187859759,Namibia
18510,Fat,1982,Namibia,0.441340782,Namibia
18511,Protein,1982,Namibia,0.21822542,Namibia
18512,Weight,1982,Namibia,0.391079685,Namibia
18513,Calories,1983,Namibia,0.186289901,Namibia
18514,Fat,1983,Namibia,0.441340782,Namibia
18515,Protein,1983,Namibia,0.221153846,Namibia
18516,Weight,1983,Namibia,0.389997267,Namibia
18517,Calories,1984,Namibia,0.187632135,Namibia
18518,Fat,1984,Namibia,0.435028249,Namibia
18519,Protein,1984,Namibia,0.226829268,Namibia
18520,Weight,1984,Namibia,0.391579527,Namibia
18521,Calories,1985,Namibia,0.189928845,Namibia
18522,Fat,1985,Namibia,0.435294118,Namibia
18523,Protein,1985,Namibia,0.224489796,Namibia
18524,Weight,1985,Namibia,0.396522235,Namibia
18525,Calories,1986,Namibia,0.186290768,Namibia
18526,Fat,1986,Namibia,0.437869822,Namibia
18527,Protein,1986,Namibia,0.217054264,Namibia
18528,Weight,1986,Namibia,0.392794887,Namibia
18529,Calories,1987,Namibia,0.189792663,Namibia
18530,Fat,1987,Namibia,0.408284024,Namibia
18531,Protein,1987,Namibia,0.225961538,Namibia
18532,Weight,1987,Namibia,0.375604208,Namibia
18533,Calories,1988,Namibia,0.18972973,Namibia
18534,Fat,1988,Namibia,0.420118343,Namibia
18535,Protein,1988,Namibia,0.227160494,Namibia
18536,Weight,1988,Namibia,0.373333333,Namibia
18537,Calories,1989,Namibia,0.183914511,Namibia
18538,Fat,1989,Namibia,0.41025641,Namibia
18539,Protein,1989,Namibia,0.217277487,Namibia
18540,Weight,1989,Namibia,0.372809668,Namibia
18541,Calories,1990,Namibia,0.183844011,Namibia
18542,Fat,1990,Namibia,0.390243902,Namibia
18543,Protein,1990,Namibia,0.194871795,Namibia
18544,Weight,1990,Namibia,0.362564258,Namibia
18545,Calories,1991,Namibia,0.210644258,Namibia
18546,Fat,1991,Namibia,0.306122449,Namibia
18547,Protein,1991,Namibia,0.255813953,Namibia
18548,Weight,1991,Namibia,0.356081286,Namibia
18549,Calories,1992,Namibia,0.24180791,Namibia
18550,Fat,1992,Namibia,0.315068493,Namibia
18551,Protein,1992,Namibia,0.291989664,Namibia
18552,Weight,1992,Namibia,0.326782884,Namibia
18553,Calories,1993,Namibia,0.246482836,Namibia
18554,Fat,1993,Namibia,0.37037037,Namibia
18555,Protein,1993,Namibia,0.300261097,Namibia
18556,Weight,1993,Namibia,0.326342548,Namibia
18557,Calories,1994,Namibia,0.237345332,Namibia
18558,Fat,1994,Namibia,0.310344828,Namibia
18559,Protein,1994,Namibia,0.287564767,Namibia
18560,Weight,1994,Namibia,0.328007519,Namibia
18561,Calories,1995,Namibia,0.255107675,Namibia
18562,Fat,1995,Namibia,0.337837838,Namibia
18563,Protein,1995,Namibia,0.307304786,Namibia
18564,Weight,1995,Namibia,0.332087227,Namibia
18565,Calories,1996,Namibia,0.264835165,Namibia
18566,Fat,1996,Namibia,0.319018405,Namibia
18567,Protein,1996,Namibia,0.31127451,Namibia
18568,Weight,1996,Namibia,0.333333333,Namibia
18569,Calories,1997,Namibia,0.221658206,Namibia
18570,Fat,1997,Namibia,0.221649485,Namibia
18571,Protein,1997,Namibia,0.273684211,Namibia
18572,Weight,1997,Namibia,0.329524955,Namibia
18573,Calories,1998,Namibia,0.218430034,Namibia
18574,Fat,1998,Namibia,0.289719626,Namibia
18575,Protein,1998,Namibia,0.271505376,Namibia
18576,Weight,1998,Namibia,0.316724942,Namibia
18577,Calories,1999,Namibia,0.202374223,Namibia
18578,Fat,1999,Namibia,0.298578199,Namibia
18579,Protein,1999,Namibia,0.265789474,Namibia
18580,Weight,1999,Namibia,0.320595099,Namibia
18581,Calories,2000,Namibia,0.198891967,Namibia
18582,Fat,2000,Namibia,0.338912134,Namibia
18583,Protein,2000,Namibia,0.241645244,Namibia
18584,Weight,2000,Namibia,0.312373225,Namibia
18585,Calories,2001,Namibia,0.219884271,Namibia
18586,Fat,2001,Namibia,0.354978355,Namibia
18587,Protein,2001,Namibia,0.293144208,Namibia
18588,Weight,2001,Namibia,0.306783851,Namibia
18589,Calories,2002,Namibia,0.239480519,Namibia
18590,Fat,2002,Namibia,0.355555556,Namibia
18591,Protein,2002,Namibia,0.327790974,Namibia
18592,Weight,2002,Namibia,0.308678238,Namibia
18593,Calories,2003,Namibia,0.232390746,Namibia
18594,Fat,2003,Namibia,0.37890625,Namibia
18595,Protein,2003,Namibia,0.31678487,Namibia
18596,Weight,2003,Namibia,0.304798962,Namibia
18597,Calories,2004,Namibia,0.194699286,Namibia
18598,Fat,2004,Namibia,0.282467532,Namibia
18599,Protein,2004,Namibia,0.275184275,Namibia
18600,Weight,2004,Namibia,0.306153846,Namibia
18601,Calories,2005,Namibia,0.19460301,Namibia
18602,Fat,2005,Namibia,0.320143885,Namibia
18603,Protein,2005,Namibia,0.272952854,Namibia
18604,Weight,2005,Namibia,0.310053722,Namibia
18605,Calories,2006,Namibia,0.171957672,Namibia
18606,Fat,2006,Namibia,0.275092937,Namibia
18607,Protein,2006,Namibia,0.222222222,Namibia
18608,Weight,2006,Namibia,0.290314828,Namibia
18609,Calories,2007,Namibia,0.178306878,Namibia
18610,Fat,2007,Namibia,0.36026936,Namibia
18611,Protein,2007,Namibia,0.229381443,Namibia
18612,Weight,2007,Namibia,0.286215773,Namibia
18613,Calories,2008,Namibia,0.290253096,Namibia
18614,Fat,2008,Namibia,0.344410876,Namibia
18615,Protein,2008,Namibia,0.35768262,Namibia
18616,Weight,2008,Namibia,0.283078417,Namibia
18617,Calories,2009,Namibia,0.303667745,Namibia
18618,Fat,2009,Namibia,0.390625,Namibia
18619,Protein,2009,Namibia,0.385416667,Namibia
18620,Weight,2009,Namibia,0.248332098,Namibia
18621,Calories,1961,Nepal,0.453646477,Nepal
18622,Fat,1961,Nepal,0.38961039,Nepal
18623,Protein,1961,Nepal,0.380577428,Nepal
18624,Weight,1961,Nepal,0.3839599,Nepal
18625,Calories,1962,Nepal,0.449722394,Nepal
18626,Fat,1962,Nepal,0.387096774,Nepal
18627,Protein,1962,Nepal,0.375979112,Nepal
18628,Weight,1962,Nepal,0.380309845,Nepal
18629,Calories,1963,Nepal,0.441903585,Nepal
18630,Fat,1963,Nepal,0.402515723,Nepal
18631,Protein,1963,Nepal,0.366233766,Nepal
18632,Weight,1963,Nepal,0.371144279,Nepal
18633,Calories,1964,Nepal,0.447030006,Nepal
18634,Fat,1964,Nepal,0.403726708,Nepal
18635,Protein,1964,Nepal,0.370179949,Nepal
18636,Weight,1964,Nepal,0.383107089,Nepal
18637,Calories,1965,Nepal,0.446229913,Nepal
18638,Fat,1965,Nepal,0.335664336,Nepal
18639,Protein,1965,Nepal,0.365979381,Nepal
18640,Weight,1965,Nepal,0.367446394,Nepal
18641,Calories,1966,Nepal,0.442767296,Nepal
18642,Fat,1966,Nepal,0.328571429,Nepal
18643,Protein,1966,Nepal,0.362924282,Nepal
18644,Weight,1966,Nepal,0.362827484,Nepal
18645,Calories,1967,Nepal,0.472576531,Nepal
18646,Fat,1967,Nepal,0.354609929,Nepal
18647,Protein,1967,Nepal,0.389333333,Nepal
18648,Weight,1967,Nepal,0.383622829,Nepal
18649,Calories,1968,Nepal,0.468190241,Nepal
18650,Fat,1968,Nepal,0.328467153,Nepal
18651,Protein,1968,Nepal,0.384020619,Nepal
18652,Weight,1968,Nepal,0.385477583,Nepal
18653,Calories,1969,Nepal,0.465559656,Nepal
18654,Fat,1969,Nepal,0.328467153,Nepal
18655,Protein,1969,Nepal,0.382051282,Nepal
18656,Weight,1969,Nepal,0.380906461,Nepal
18657,Calories,1970,Nepal,0.458966565,Nepal
18658,Fat,1970,Nepal,0.333333333,Nepal
18659,Protein,1970,Nepal,0.378172589,Nepal
18660,Weight,1970,Nepal,0.375774917,Nepal
18661,Calories,1971,Nepal,0.452806909,Nepal
18662,Fat,1971,Nepal,0.328358209,Nepal
18663,Protein,1971,Nepal,0.368020305,Nepal
18664,Weight,1971,Nepal,0.365109628,Nepal
18665,Calories,1972,Nepal,0.461877757,Nepal
18666,Fat,1972,Nepal,0.333333333,Nepal
18667,Protein,1972,Nepal,0.376963351,Nepal
18668,Weight,1972,Nepal,0.37099903,Nepal
18669,Calories,1973,Nepal,0.447513812,Nepal
18670,Fat,1973,Nepal,0.333333333,Nepal
18671,Protein,1973,Nepal,0.366412214,Nepal
18672,Weight,1973,Nepal,0.361692015,Nepal
18673,Calories,1974,Nepal,0.443757726,Nepal
18674,Fat,1974,Nepal,0.338129496,Nepal
18675,Protein,1974,Nepal,0.358778626,Nepal
18676,Weight,1974,Nepal,0.351973684,Nepal
18677,Calories,1975,Nepal,0.448208469,Nepal
18678,Fat,1975,Nepal,0.358208955,Nepal
18679,Protein,1975,Nepal,0.360962567,Nepal
18680,Weight,1975,Nepal,0.34702755,Nepal
18681,Calories,1976,Nepal,0.463795256,Nepal
18682,Fat,1976,Nepal,0.352517986,Nepal
18683,Protein,1976,Nepal,0.377260982,Nepal
18684,Weight,1976,Nepal,0.363209761,Nepal
18685,Calories,1977,Nepal,0.489757914,Nepal
18686,Fat,1977,Nepal,0.325757576,Nepal
18687,Protein,1977,Nepal,0.397435897,Nepal
18688,Weight,1977,Nepal,0.380842203,Nepal
18689,Calories,1978,Nepal,0.482424242,Nepal
18690,Fat,1978,Nepal,0.377622378,Nepal
18691,Protein,1978,Nepal,0.395465995,Nepal
18692,Weight,1978,Nepal,0.380384968,Nepal
18693,Calories,1979,Nepal,0.486383787,Nepal
18694,Fat,1979,Nepal,0.430555556,Nepal
18695,Protein,1979,Nepal,0.396325459,Nepal
18696,Weight,1979,Nepal,0.371574547,Nepal
18697,Calories,1980,Nepal,0.477798624,Nepal
18698,Fat,1980,Nepal,0.350364964,Nepal
18699,Protein,1980,Nepal,0.388601036,Nepal
18700,Weight,1980,Nepal,0.360307414,Nepal
18701,Calories,1981,Nepal,0.480757483,Nepal
18702,Fat,1981,Nepal,0.384615385,Nepal
18703,Protein,1981,Nepal,0.396419437,Nepal
18704,Weight,1981,Nepal,0.364079823,Nepal
18705,Calories,1982,Nepal,0.465321564,Nepal
18706,Fat,1982,Nepal,0.377777778,Nepal
18707,Protein,1982,Nepal,0.37628866,Nepal
18708,Weight,1982,Nepal,0.340228873,Nepal
18709,Calories,1983,Nepal,0.459677419,Nepal
18710,Fat,1983,Nepal,0.264900662,Nepal
18711,Protein,1983,Nepal,0.373809524,Nepal
18712,Weight,1983,Nepal,0.311377246,Nepal
18713,Calories,1984,Nepal,0.479202279,Nepal
18714,Fat,1984,Nepal,0.255319149,Nepal
18715,Protein,1984,Nepal,0.395238095,Nepal
18716,Weight,1984,Nepal,0.32761194,Nepal
18717,Calories,1985,Nepal,0.468061051,Nepal
18718,Fat,1985,Nepal,0.237623762,Nepal
18719,Protein,1985,Nepal,0.406483791,Nepal
18720,Weight,1985,Nepal,0.329389313,Nepal
18721,Calories,1986,Nepal,0.458576429,Nepal
18722,Fat,1986,Nepal,0.238888889,Nepal
18723,Protein,1986,Nepal,0.395408163,Nepal
18724,Weight,1986,Nepal,0.313455657,Nepal
18725,Calories,1987,Nepal,0.467836257,Nepal
18726,Fat,1987,Nepal,0.223880597,Nepal
18727,Protein,1987,Nepal,0.399082569,Nepal
18728,Weight,1987,Nepal,0.328454124,Nepal
18729,Calories,1988,Nepal,0.455512573,Nepal
18730,Fat,1988,Nepal,0.210970464,Nepal
18731,Protein,1988,Nepal,0.396186441,Nepal
18732,Weight,1988,Nepal,0.317654639,Nepal
18733,Calories,1989,Nepal,0.440130964,Nepal
18734,Fat,1989,Nepal,0.221757322,Nepal
18735,Protein,1989,Nepal,0.375757576,Nepal
18736,Weight,1989,Nepal,0.299543379,Nepal
18737,Calories,1990,Nepal,0.412293853,Nepal
18738,Fat,1990,Nepal,0.210743802,Nepal
18739,Protein,1990,Nepal,0.349892009,Nepal
18740,Weight,1990,Nepal,0.271181102,Nepal
18741,Calories,1991,Nepal,0.40362923,Nepal
18742,Fat,1991,Nepal,0.191489362,Nepal
18743,Protein,1991,Nepal,0.346072187,Nepal
18744,Weight,1991,Nepal,0.256014256,Nepal
18745,Calories,1992,Nepal,0.393291201,Nepal
18746,Fat,1992,Nepal,0.176470588,Nepal
18747,Protein,1992,Nepal,0.34261242,Nepal
18748,Weight,1992,Nepal,0.244226328,Nepal
18749,Calories,1993,Nepal,0.401692384,Nepal
18750,Fat,1993,Nepal,0.182572614,Nepal
18751,Protein,1993,Nepal,0.349450549,Nepal
18752,Weight,1993,Nepal,0.247141601,Nepal
18753,Calories,1994,Nepal,0.395382395,Nepal
18754,Fat,1994,Nepal,0.189189189,Nepal
18755,Protein,1994,Nepal,0.338174274,Nepal
18756,Weight,1994,Nepal,0.236133992,Nepal
18757,Calories,1995,Nepal,0.393632417,Nepal
18758,Fat,1995,Nepal,0.229571984,Nepal
18759,Protein,1995,Nepal,0.337526205,Nepal
18760,Weight,1995,Nepal,0.23682751,Nepal
18761,Calories,1996,Nepal,0.402142162,Nepal
18762,Fat,1996,Nepal,0.1875,Nepal
18763,Protein,1996,Nepal,0.340292276,Nepal
18764,Weight,1996,Nepal,0.253082795,Nepal
18765,Calories,1997,Nepal,0.405705996,Nepal
18766,Fat,1997,Nepal,0.206477733,Nepal
18767,Protein,1997,Nepal,0.350951374,Nepal
18768,Weight,1997,Nepal,0.25179443,Nepal
18769,Calories,1998,Nepal,0.398346304,Nepal
18770,Fat,1998,Nepal,0.25,Nepal
18771,Protein,1998,Nepal,0.341052632,Nepal
18772,Weight,1998,Nepal,0.24675699,Nepal
18773,Calories,1999,Nepal,0.397527342,Nepal
18774,Fat,1999,Nepal,0.248148148,Nepal
18775,Protein,1999,Nepal,0.346638655,Nepal
18776,Weight,1999,Nepal,0.243371476,Nepal
18777,Calories,2000,Nepal,0.389127325,Nepal
18778,Fat,2000,Nepal,0.2,Nepal
18779,Protein,2000,Nepal,0.329918033,Nepal
18780,Weight,2000,Nepal,0.234306167,Nepal
18781,Calories,2001,Nepal,0.381628788,Nepal
18782,Fat,2001,Nepal,0.200743494,Nepal
18783,Protein,2001,Nepal,0.327835052,Nepal
18784,Weight,2001,Nepal,0.224620304,Nepal
18785,Calories,2002,Nepal,0.375,Nepal
18786,Fat,2002,Nepal,0.197026022,Nepal
18787,Protein,2002,Nepal,0.319672131,Nepal
18788,Weight,2002,Nepal,0.217665615,Nepal
18789,Calories,2003,Nepal,0.367509363,Nepal
18790,Fat,2003,Nepal,0.1875,Nepal
18791,Protein,2003,Nepal,0.31124498,Nepal
18792,Weight,2003,Nepal,0.210390947,Nepal
18793,Calories,2004,Nepal,0.370863971,Nepal
18794,Fat,2004,Nepal,0.180212014,Nepal
18795,Protein,2004,Nepal,0.313609467,Nepal
18796,Weight,2004,Nepal,0.21740253,Nepal
18797,Calories,2005,Nepal,0.356395084,Nepal
18798,Fat,2005,Nepal,0.173611111,Nepal
18799,Protein,2005,Nepal,0.298449612,Nepal
18800,Weight,2005,Nepal,0.206626201,Nepal
18801,Calories,2006,Nepal,0.354022989,Nepal
18802,Fat,2006,Nepal,0.189090909,Nepal
18803,Protein,2006,Nepal,0.298624754,Nepal
18804,Weight,2006,Nepal,0.196524719,Nepal
18805,Calories,2007,Nepal,0.346171273,Nepal
18806,Fat,2007,Nepal,0.185185185,Nepal
18807,Protein,2007,Nepal,0.293774319,Nepal
18808,Weight,2007,Nepal,0.191826923,Nepal
18809,Calories,2008,Nepal,0.33617212,Nepal
18810,Fat,2008,Nepal,0.278931751,Nepal
18811,Protein,2008,Nepal,0.2890625,Nepal
18812,Weight,2008,Nepal,0.197610514,Nepal
18813,Calories,2009,Nepal,0.337730871,Nepal
18814,Fat,2009,Nepal,0.258160237,Nepal
18815,Protein,2009,Nepal,0.288167939,Nepal
18816,Weight,2009,Nepal,0.202513966,Nepal
18817,Calories,1961,Netherlands,0.339685565,Netherlands
18818,Fat,1961,Netherlands,0.490842491,Netherlands
18819,Protein,1961,Netherlands,0.625336927,Netherlands
18820,Weight,1961,Netherlands,0.217168339,Netherlands
18821,Calories,1962,Netherlands,0.321203299,Netherlands
18822,Fat,1962,Netherlands,0.488888889,Netherlands
18823,Protein,1962,Netherlands,0.606741573,Netherlands
18824,Weight,1962,Netherlands,0.224530831,Netherlands
18825,Calories,1963,Netherlands,0.302928469,Netherlands
18826,Fat,1963,Netherlands,0.428571429,Netherlands
18827,Protein,1963,Netherlands,0.592485549,Netherlands
18828,Weight,1963,Netherlands,0.215923842,Netherlands
18829,Calories,1964,Netherlands,0.285081241,Netherlands
18830,Fat,1964,Netherlands,0.479789104,Netherlands
18831,Protein,1964,Netherlands,0.557863501,Netherlands
18832,Weight,1964,Netherlands,0.20235546,Netherlands
18833,Calories,1965,Netherlands,0.28085957,Netherlands
18834,Fat,1965,Netherlands,0.295081967,Netherlands
18835,Protein,1965,Netherlands,0.577287066,Netherlands
18836,Weight,1965,Netherlands,0.208181818,Netherlands
18837,Calories,1966,Netherlands,0.285085575,Netherlands
18838,Fat,1966,Netherlands,0.285217391,Netherlands
18839,Protein,1966,Netherlands,0.581039755,Netherlands
18840,Weight,1966,Netherlands,0.197124809,Netherlands
18841,Calories,1967,Netherlands,0.276450512,Netherlands
18842,Fat,1967,Netherlands,0.3567753,Netherlands
18843,Protein,1967,Netherlands,0.565749235,Netherlands
18844,Weight,1967,Netherlands,0.190055476,Netherlands
18845,Calories,1968,Netherlands,0.283018868,Netherlands
18846,Fat,1968,Netherlands,0.359929078,Netherlands
18847,Protein,1968,Netherlands,0.575851393,Netherlands
18848,Weight,1968,Netherlands,0.194039315,Netherlands
18849,Calories,1969,Netherlands,0.27173913,Netherlands
18850,Fat,1969,Netherlands,0.315978456,Netherlands
18851,Protein,1969,Netherlands,0.559375,Netherlands
18852,Weight,1969,Netherlands,0.195447088,Netherlands
